hope,fear,think
accepting,authoritarian,academic
accepting,autocratic,accepting
active,boring,accepting
active,boring,active
advance,boring,beneficial
adventurous,challenging,challenging
attractive,classist,challenging
brilliant,cliquey,challenging
caring,cliquey,collaborative
challenging,cliquey,collaborative
challenging,closed-minded,colorful
collaborative,cold,colorful
comfort,communist,community
communal,competitive,competitive
compassionate,competitive,competitive
comprehensive,competitive,competitive
comprehensive,compulsory,comprehensive
cooperation,conflict,comprehensive
cooperative,corrupting,concentrated
creative,dead,cooperative
creative,depressing,cozy
democratic,difficult,curiosity
diverse,difficult,curious
diverse,difficult,determined
diverse,dirty,different
diverse,disassociated,difficult
diverse,discriminate,diligent
diversiform,discrimination,diverse
dynamic,discriminational,diverse
dynamic,disharmonious,diverse
dynamic,disjointed,diverse
encompassing,distant,divided
encouraging,divided,easy
engaging,egoism,egotistical
engaging,embarrassed,encouraging
enlightening,entertaining,encouraging
excellence,exclusive,enthusiastic
exciting,fickle,environmental
familiar,fretted,excellence
flexible,hard,excellent
forward-thinking,hierarchical,exciting
free,hierarchical,exciting
free,hostile,exploring
friendly,impatient,fast
friendly,inactive,friendly
friendly,independent,friendly
friendly,indifferent,friendly
fun,indifferent,friendly
fun,indifferent,fruitful
hardworking,inflexible,fun
hardworking,inharmonious,fun
harmonious,intense,fun
harmonious,isolated,global
harmonious,isolating,global
hopeful,judgemental,globalized
inclusive,judgy,hardworking
inclusive,lazy,harmonious
inclusive,misunderstanding,harmonious
inclusive,mute,harmonious
inclusive,narrow-minded,harmonious
inclusive,new,high-quality
inclusive,obnoxious,innovative
initiative,passive,innovative
innovative,passive,innovative
inspiring,prejudicial,intelligent
interconnected,rigid,interacting
interesting,rigorous,interesting
interesting,rivalrous,lovely
kind,segregated,meaningful
liberal,selfish,memetic
lively,separate,motivated
lively,separated,multicultural
motivated,silent,multicultural
multicultural,stiff,multicultural
multicultural,stressful,open
natural,stressful,openminded
noncompetitive,sybaritic,openminded
open,tedious,openminded
open,too,optimistic
openminded,tough,paced
optimistic,uncomprehending,positive
optimistic,unfair,positive
peaceful,unmerciful,positive
positive,unrealistic,positivity
positive,unsupportive,practical
practical,untrustworthy,promising
precise,unwelcoming,rewarding
respectful,,stressful
respectful,,student-oriented
rigorous,,tightknit
sincere,,unique
supportive,,warm
supportive,,
supportive,,
tolerance,,
tolerant,,
united,,
variety,,
vigorous,,
warm,,
welcoming,,
