hope,fear,think
accepting,authoritarian,academic
accepting,autocratic,accepting
active,boring,accepting
active,boring,active
advancing,boring,beneficial
adventurous,challenging,challenging
attractive,classist,challenging
brilliant,cliquey,challenging
caring,cliquey,collaborative
challenging,cliquey,collaborative
challenging,closed-minded,colorful
collaborative,cold,colorful
comfort,communist,community
communal,competitive,competitive
compassionate,competitive,competitive
comprehensive,competitive,competitive
comprehensive,compulsory,comprehensive
cooperative,conflict,comprehensive
cooperative,corrupting,concentrated
creative,dead,cooperative
creative,depressing,cozy
democratic,difficult,curious
diverse,difficult,curious
diverse,difficult,determined
diverse,dirty,different
diverse,disassociated,difficult
diverse,discrimination,diligent
diverse,discrimination,diverse
dynamic,discrimination,diverse
dynamic,inharmonious,diverse
dynamic,disjointed,diverse
encompassing,distant,divided
encouraging,divided,easy
engaging,egotistical,egotistical
engaging,embarrassed,encouraging
enlightening,entertaining,encouraging
excellent,exclusive,enthusiastic
exciting,fickle,environmental
familiar,fretted,excellent
flexible,hard,excellent
forward-thinking,hierarchical,exciting
free,hierarchical,exciting
free,hostile,exploring
friendly,impatient,fast-paced
friendly,inactive,friendly
friendly,independent,friendly
friendly,indifferent,friendly
fun,indifferent,friendly
fun,indifferent,fruitful
hardworking,inflexible,fun
hardworking,inharmonious,fun
harmonious,intense,fun
harmonious,isolating,global
harmonious,isolating,global
hopeful,judgemental,global
inclusive,judgy,hardworking
inclusive,lazy,harmonious
inclusive,misunderstanding,harmonious
inclusive,mute,harmonious
inclusive,narrow-minded,harmonious
inclusive,new,high-quality
inclusive,obnoxious,innovative
initiative,passive,innovative
innovative,passive,innovative
inspiring,prejudicial,intelligent
interconnected,rigid,interacting
interesting,rigorous,interesting
interesting,rivalrous,lovely
kind,segregated,meaningful
liberal,selfish,memetic
lively,separate,motivated
lively,separate,multicultural
motivated,silent,multicultural
multicultural,stiff,multicultural
multicultural,stressful,open
natural,stressful,openminded
noncompetitive,sybaritic,openminded
open,tedious,openminded
open,tough,optimistic
openminded,uncomprehending,positive
optimistic,unfair,positive
optimistic,unmerciful,positive
peaceful,unrealistic,positive
positive,unsupportive,practical
positive,untrustworthy,promising
practical,unwelcoming,rewarding
precise,,stressful
respectful,,student-oriented
respectful,,tightknit
rigorous,,unique
sincere,,warm
supportive,,
supportive,,
supportive,,
tolerant,,
tolerant,,
united,,
variety,,
vigorous,,
warm,,
welcoming,,
